company_name,trade_date,daily_return
ZEEL,2024-01-23,-33.638300
ADANIENT,2023-02-01,-28.197000
ADANIENT,2023-02-02,-26.698200
ADANIENT,2024-11-21,-22.606800
ADANIPORTS,2024-06-04,-21.149700
